Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
5,TransactSavings,1774505118.572096,829,17,1
5,TransactSavings,1774505118.580592,1015,18,1
6,WriteCheck,1774505118.590390,969,15,1
2,Balance,1774505118.602437,886,19,1
3,DepositChecking,1774505118.610367,863,3,1
4,SendPayment,1774505118.620459,873,6,1
3,DepositChecking,1774505118.631418,930,0,1
5,TransactSavings,1774505118.641052,823,1,1
4,SendPayment,1774505118.650379,925,2,1
2,Balance,1774505118.662743,844,5,1
4,SendPayment,1774505118.670325,751,4,1
4,SendPayment,1774505118.681397,942,8,1
4,SendPayment,1774505118.692460,1002,7,1
4,SendPayment,1774505118.700390,930,9,1
6,WriteCheck,1774505118.712480,904,11,1
4,SendPayment,1774505118.721450,928,12,1
2,Balance,1774505118.731435,1667,16,1
3,DepositChecking,1774505118.742460,758,10,1
4,SendPayment,1774505118.751755,743,14,1
3,DepositChecking,1774505118.761459,947,13,1
2,Balance,1774505118.772450,888,17,1
5,TransactSavings,1774505118.780484,799,18,1
4,SendPayment,1774505118.792321,744,15,1
5,TransactSavings,1774505118.802259,909,19,1
3,DepositChecking,1774505118.812271,887,3,1
5,TransactSavings,1774505118.822253,601,6,1
3,DepositChecking,1774505118.831610,1074,0,1
2,Balance,1774505118.842439,892,1,1
5,TransactSavings,1774505118.852238,1058,2,1
2,Balance,1774505118.860483,1059,5,1
4,SendPayment,1774505118.872753,1174,4,1
2,Balance,1774505118.882163,916,8,1
5,TransactSavings,1774505118.892300,955,7,1
6,WriteCheck,1774505118.900428,924,9,1
4,SendPayment,1774505118.910389,889,11,1
6,WriteCheck,1774505118.922581,900,12,1
3,DepositChecking,1774505118.930440,856,16,1
3,DepositChecking,1774505118.940380,889,10,1
1,Amalgamate,1774505118.950376,974,14,1
4,SendPayment,1774505118.960404,815,13,1
4,SendPayment,1774505118.972741,1676,17,1
5,TransactSavings,1774505118.982158,490,18,1
5,TransactSavings,1774505118.990345,432,15,1
1,Amalgamate,1774505119.001381,407,19,1
5,TransactSavings,1774505119.012448,443,3,1
4,SendPayment,1774505119.020939,385,6,1
3,DepositChecking,1774505119.030386,339,0,1
6,WriteCheck,1774505119.040333,369,1,1
1,Amalgamate,1774505119.050365,424,2,1
2,Balance,1774505119.061390,353,5,1
5,TransactSavings,1774505119.070352,394,4,1
3,DepositChecking,1774505119.082410,353,8,1
3,DepositChecking,1774505119.090418,424,7,1
1,Amalgamate,1774505119.100436,421,9,1
2,Balance,1774505119.112417,419,11,1
2,Balance,1774505119.121461,883,12,1
1,Amalgamate,1774505119.130377,426,16,1
3,DepositChecking,1774505119.142705,707,10,1
6,WriteCheck,1774505119.152143,474,14,1
6,WriteCheck,1774505119.162263,486,13,1
3,DepositChecking,1774505119.172250,454,17,1
2,Balance,1774505119.182249,455,18,1
